root	leaf	logFC_root_leaf	PValue_root_leaf	FDR_root_leaf
AT1TE15175	0	0	0	1	1
AT1TE15180	55.4551716878909	55.1905265682169	-0.0555552259471069	1	1
AT1TE15190	0	0	0	1	1
AT1TE15240	0	0	0	1	1
AT1TE15245	0	0	0	1	1
AT1TE15370	1731.08413850333	1586.77154384411	0.124904963786995	0.776379545696314	1
AT1TE15440	0	0	0	1	1
AT1TE15445	0	0	0	1	1
AT1TE15450	0	0	0	1	1
AT1TE15455	0	0	0	1	1
AT1TE15500	0	0	0	1	1
AT1TE15505	0	0	0	1	1
AT1TE15510	0	0	0	1	1
AT1TE15515	0	0	0	1	1
AT1TE15600	841.665342072047	1023.4045500105	-0.281579921634918	0.302181664393679	1
AT1TE15650	0	0	0	1	1
AT1TE15660	0	0	0	1	1
AT1TE15700	0	0	0	1	1
AT1TE15780	0	0	0	1	1
AT1TE15785	0	0	0	1	1
AT1TE15840	15.7046227738434	24.3971792067854	-0.593708632746623	0.999999999999999	1
AT1TE15890	394.734414109112	288.327221745116	0.431833986208775	0.637647304213531	1
AT1TE15960	0	0	0	1	1
AT1TE16010	0	0	0	1	1
AT1TE16080	0	0	0	1	1
AT1TE16150	0	0	0	1	1
AT1TE16155	0	0	0	1	1
AT1TE16260	0	0	0	1	1
AT1TE16265	453.606362225565	711.109270887807	-0.642773035354773	0.398566038485928	1
AT1TE16275	4487.75185263809	4538.07595551875	-0.0176181823705825	1	1
AT1TE16320	642.085589406201	141.657021573366	2.12104364364825	0.0427050286900942	1
AT1TE16325	191.760902331791	137.891172547662	0.470891644028982	0.64857860587958	1
AT1TE16330	270.24894446282	227.285789863125	0.227426645488171	0.7270587812163	1
AT1TE16370	23.0532009774531	34.6763119758797	-0.592392707502037	0.999999999999999	1
AT1TE16450	0	0	0	1	1
AT1TE16500	0	0	0	1	1
AT1TE16505	0	0	0	1	1
AT1TE16580	0	0	0	1	1
AT1TE16590	0	0	0	1	1
AT1TE16595	0	0	0	1	1
AT1TE16800	12.4235091407669	53.9185943099932	-1.82792637402888	0.380092601427793	1
AT1TE16810	0	0	0	1	1
AT1TE17030	360.785183611838	335.01798086226	0.108980815451855	0.622318213633611	1
AT1TE17050	9932.05365762547	9482.54572668158	0.0662414479511295	0.582495997240307	1
AT1TE17090	0	0	0	1	1
AT1TE17095	0	0	0	1	1
AT1TE17300	0	0	0	1	1
AT1TE17305	0	0	0	1	1
AT1TE17315	0	0	0	1	1
AT1TE17320	0	0	0	1	1
AT1TE17360	0	0	0	1	1
AT1TE17365	0	0	0	1	1
AT1TE17370	0	0	0	1	1
AT1TE17410	553.965726628618	887.771218637439	-0.671588176324801	0.126570831505662	1
AT1TE17415	4.86987662765498	0	2.29434778006067	1	1
AT1TE17510	0	0	0	1	1
AT1TE17515	0	0	0	1	1
AT1TE17550	0	0	0	1	1
AT1TE17555	0	0	0	1	1
AT1TE17560	0	0	0	1	1
AT1TE17610	0	72.7427948619986	-3.202768070325	0.502193629978737	1
AT1TE17830	0	0	0	1	1
AT1TE17870	0	149.418254855417	-2.34990270236041	0.999999999999998	1
AT1TE17875	0	0	0	1	1
AT1TE18210	0	0	0	1	1
AT1TE18215	0	0	0	1	1
AT1TE18220	0	0	0	1	1
AT1TE18270	0	0	0	1	1
AT1TE18275	0	0	0	1	1
AT1TE18280	0	0	0	1	1
AT1TE18285	0	0	0	1	1
AT1TE18290	0	0	0	1	1
AT1TE18295	0	0	0	1	1
AT1TE18300	1330.0833518894	1144.01191405551	0.237424684925728	0.999999999999999	1
AT1TE18370	0	0	0	1	1
AT1TE18375	0	0	0	1	1
AT1TE18380	0	0	0	1	1
AT1TE18385	0	0	0	1	1
AT1TE18410	0	0	0	1	1
AT1TE18415	0	0	0	1	1
AT1TE18700	0	0	0	1	1
AT1TE18740	0	0	0	1	1
AT1TE18745	0	0	0	1	1
AT1TE18750	0	0	0	1	1
AT1TE18770	1338.10964431051	1083.04718482983	0.309954593391082	0.564395112529128	1
AT1TE18775	0	0	0	1	1
AT1TE18785	0	0	0	1	1
AT1TE18790	0	0	0	1	1
AT1TE18795	0	0	0	1	1
AT1TE18810	0	0	0	1	1
AT1TE18950	0	0	0	1	1
AT1TE18955	0	0	0	1	1
AT1TE18960	0	0	0	1	1
AT1TE19050	0	0	0	1	1
AT1TE19080	0	0	0	1	1
AT1TE19085	0	0	0	1	1
AT1TE19090	9.18586736468826	0	2.29417294518249	0.999999999999994	1
AT1TE19095	0	0	0	1	1
AT1TE19130	0	0	0	1	1
AT1TE19135	0	0	0	1	1
AT1TE19270	0	0	0	1	1
AT1TE19280	0	0	0	1	1
AT1TE19285	0	0	0	1	1
AT1TE19290	0	0	0	1	1
AT1TE19295	0	0	0	1	1
AT1TE19300	0	0	0	1	1
AT1TE19400	0	0	0	1	1
AT1TE19430	0	0	0	1	1
AT1TE19435	0	0	0	1	1
AT1TE19630	0	0	0	1	1
AT1TE19635	0	0	0	1	1
AT1TE19640	0	0	0	1	1
AT1TE19730	57.5425267726066	81.667171068902	-0.469247786639141	0.795124849010431	1
AT1TE19780	0	0	0	1	1
AT1TE19785	0	0	0	1	1
AT1TE19790	0	0	0	1	1
AT1TE19795	0	0	0	1	1
AT1TE19800	69.8182658174294	38.449762998485	0.788203815885301	0.999999999999999	1
AT1TE19810	0	0	0	1	1
AT1TE19815	0	0	0	1	1
AT1TE19820	0	0	0	1	1
AT1TE19860	0	0	0	1	1
AT1TE19910	0	0	0	1	1
AT1TE20030	0	0	0	1	1
AT1TE20035	0	0	0	1	1
AT1TE20040	0	0	0	1	1
AT1TE20045	0	0	0	1	1
AT1TE20050	0	0	0	1	1
AT1TE20080	0	0	0	1	1
AT1TE20085	0	0	0	1	1
AT1TE20090	246.627121817531	320.49525902704	-0.383683719201055	0.713586489881948	1
AT1TE20110	8.58735476019016	0	2.29417294517068	1	1
AT1TE20115	0	0	0	1	1
AT1TE20150	43.0456227787125	0	2.29434778006715	1	1
AT1TE20155	0	0	0	1	1
AT1TE20160	0	0	0	1	1
AT1TE20165	0	0	0	1	1
AT1TE20170	0	0	0	1	1
AT1TE20175	0	0	0	1	1
AT1TE20180	0	0	0	1	1
AT1TE20185	0	0	0	1	1
AT1TE20190	0	0	0	1	1
AT1TE20195	0	0	0	1	1
AT1TE20200	31.0885053401813	0	2.29434778007363	1	1
AT1TE20310	0	0	0	1	1
AT1TE20315	0	0	0	1	1
AT1TE20320	0	0	0	1	1
AT1TE20325	0	0	0	1	1
AT1TE20410	0	0	0	1	1
AT1TE20450	0	0	0	1	1
AT1TE20660	0	0	0	1	1
AT1TE20665	0	0	0	1	1
AT1TE20670	0	0	0	1	1
AT1TE20675	0	23.2827284592902	-2.35098263534401	1	1
AT1TE20740	458.632563861572	432.673506348119	0.0798089896907512	1	1
AT1TE20745	0	0	0	1	1
AT1TE20750	0	0	0	1	1
AT1TE20755	0	4.06243265853586	-2.34990270224072	0.999999999999994	1
AT1TE20760	0	0	0	1	1
AT1TE20840	3104.67336761864	3380.62112173284	-0.125524219143664	0.41927546520315	1
AT1TE20890	0	0	0	1	1
AT1TE20900	0	0	0	1	1
AT1TE20905	0	0	0	1	1
AT1TE20910	0	0	0	1	1
AT1TE20915	15.2364456865245	0	2.29434778008011	0.999999999999997	1
AT1TE20920	0	0	0	1	1
AT1TE20925	0	0	0	1	1
AT1TE20930	0	0	0	1	1
AT1TE20970	83.7486266306924	41.6744792453883	0.789470807529468	0.999999999999997	1
AT1TE20980	0	0	0	1	1
AT1TE21010	0	0	0	1	1
AT1TE21020	15657.4659011474	16681.6050108844	-0.0929436550269514	0.683913435008274	1
AT1TE21025	7.35427008047299	8.03907828522685	-0.0566342476083665	1	1
AT1TE21120	0	0	0	1	1
AT1TE21125	0	0	0	1	1
AT1TE21130	0	0	0	1	1
AT1TE21135	2435.69745324872	831.249874085542	1.55152491729994	6.14446259642974e-05	0.344132325039456
AT1TE21210	3.58861729988399	2.39302673791878	0.468026876792098	1	1
AT1TE21250	0	0	0	1	1
AT1TE21300	0	0	0	1	1
AT1TE21305	0	0	0	1	1
AT1TE21310	0	0	0	1	1
AT1TE21350	0	0	0	1	1
AT1TE21355	0	0	0	1	1
AT1TE21360	0	0	0	1	1
AT1TE21370	0	0	0	1	1
AT1TE21375	0	0	0	1	1
AT1TE21470	0	0	0	1	1
AT1TE21480	2557.38709588173	2856.27449707379	-0.147676373385834	0.788703132049164	1
AT1TE21510	0	0	0	1	1
AT1TE21515	0	0	0	1	1
AT1TE21560	0	0	0	1	1
AT1TE21570	0	0	0	1	1
AT1TE21575	0	0	0	1	1
AT1TE21580	870.241226378716	563.117542122403	0.598123948032181	0.365999059419864	1
AT1TE21600	0	0	0	1	1
AT1TE21710	0	0	0	1	1
AT1TE21715	0	0	0	1	1
AT1TE21725	0	0	0	1	1
AT1TE21735	29.7888856449405	31.5852715803039	-0.0683565278906535	1	1
AT1TE21780	319.088024247066	0	2.29417294515886	0.999999999999997	1
AT1TE21785	0	0	0	1	1
AT1TE21790	3.04503890542152	0	2.29417294514704	1	1
AT1TE21795	0	0	0	1	1
AT1TE21805	0	0	0	1	1
AT1TE21830	95.4546602972667	95.7210695167512	-0.0613787608396595	1	1
AT1TE21840	0	0	0	1	1
AT1TE21845	0	0	0	1	1
AT1TE21850	0	0	0	1	1
AT1TE21880	0	0	0	1	1
AT1TE21910	0	0	0	1	1
AT1TE21950	0	0	0	1	1
AT1TE22110	56.6604902868622	343.522342938621	-2.3524198195415	0.231381343885028	1
AT1TE22115	0	0	0	1	1
